n_variables,k_interes,k_condicionales,tiempo_ms
15,1,2,5.5991
15,1,3,5.54967
15,1,4,5.34356
15,1,5,5.20306
15,1,6,5.12784
15,1,7,5.14331
15,1,8,5.33647
15,1,9,4.98096
15,1,10,4.97752
15,1,11,4.91746
15,1,12,5.05898
15,1,13,5.19571
15,1,14,4.90847
15,2,1,6.3797
15,2,2,5.80597
15,2,3,5.55374
15,2,4,5.37462
15,2,5,5.24392
15,2,6,5.27008
15,2,7,5.18437
15,2,8,5.35508
15,2,9,4.98734
15,2,10,4.99448
15,2,11,4.92647
15,2,12,5.07562
15,2,13,5.19911
15,3,1,6.75748
15,3,2,6.02915
15,3,3,5.61973
15,3,4,5.34308
15,3,5,5.25243
15,3,6,5.21445
15,3,7,5.19709
15,3,8,5.34773
15,3,9,4.98548
15,3,10,4.99023
15,3,11,4.89497
15,3,12,5.04589
15,4,1,7.19156
15,4,2,6.16104
15,4,3,5.85398
15,4,4,5.42288
15,4,5,5.25398
15,4,6,5.24571
15,4,7,5.15717
15,4,8,5.32608
15,4,9,4.97218
15,4,10,4.96965
15,4,11,4.91326
15,5,1,7.41801
15,5,2,6.62622
15,5,3,5.78081
15,5,4,5.46177
15,5,5,5.39113
15,5,6,5.24989
15,5,7,5.1659
15,5,8,5.33098
15,5,9,5.00132
15,5,10,4.96849
15,6,1,7.92417
15,6,2,6.59255
15,6,3,5.9439
15,6,4,7.23396
15,6,5,9.25424
15,6,6,5.2451
15,6,7,5.15973
15,6,8,5.41395
15,6,9,5.00263
15,7,1,8.51652
15,7,2,6.89998
15,7,3,6.07808
15,7,4,5.69843
15,7,5,5.43298
15,7,6,5.31365
15,7,7,5.23084
15,7,8,5.36169
15,8,1,9.26605
15,8,2,7.13107
15,8,3,6.1922
15,8,4,5.63978
15,8,5,5.38556
15,8,6,5.26326
15,8,7,5.23345
15,9,1,9.38808
15,9,2,7.47203
15,9,3,6.28157
15,9,4,5.76261
15,9,5,5.46108
15,9,6,5.26418
15,10,1,9.76271
15,10,2,7.55259
15,10,3,6.39884
15,10,4,5.71816
15,10,5,5.44014
15,11,1,10.1396
15,11,2,7.93132
15,11,3,6.50067
15,11,4,5.77198
15,12,1,10.5812
15,12,2,7.91606
15,12,3,6.67129
15,13,1,10.8688
15,13,2,8.09681
15,14,1,11.2458
