n_variables,k_interes,k_condicionales,tiempo_ms
20,1,2,219.257
20,1,3,216.828
20,1,4,205.961
20,1,5,191.919
20,1,6,188.515
20,1,7,187.067
20,1,8,187.418
20,1,9,182.589
20,1,10,180.803
20,1,11,175.139
20,1,12,177.133
20,1,13,186.572
20,1,14,174.726
20,1,15,173.251
20,1,16,176.267
20,1,17,180.574
20,1,18,179.735
20,1,19,181.65
20,2,1,243.868
20,2,2,225.697
20,2,3,215.135
20,2,4,207.136
20,2,5,192.775
20,2,6,189.05
20,2,7,186.958
20,2,8,188.195
20,2,9,182.643
20,2,10,180.603
20,2,11,175.53
20,2,12,176.592
20,2,13,180.819
20,2,14,174.889
20,2,15,173.365
20,2,16,176.527
20,2,17,181.283
20,2,18,175.553
20,3,1,262.248
20,3,2,231.996
20,3,3,218.191
20,3,4,208.797
20,3,5,193.645
20,3,6,189.656
20,3,7,188.04
20,3,8,183.132
20,3,9,182.789
20,3,10,180.095
20,3,11,175.195
20,3,12,176.321
20,3,13,180.796
20,3,14,174.747
20,3,15,173.224
20,3,16,175.801
20,3,17,180.917
20,4,1,267.217
20,4,2,237.467
20,4,3,220.887
20,4,4,210.127
20,4,5,194.208
20,4,6,190.343
20,4,7,188.238
20,4,8,183.554
20,4,9,182.753
20,4,10,180.697
20,4,11,175.488
20,4,12,176.373
20,4,13,181.015
20,4,14,175.165
20,4,15,173.792
20,4,16,176.379
20,5,1,280.011
20,5,2,243.973
20,5,3,224.061
20,5,4,212.64
20,5,5,194.966
20,5,6,190.714
20,5,7,188.314
20,5,8,183.638
20,5,9,182.884
20,5,10,180.503
20,5,11,175.785
20,5,12,176.253
20,5,13,180.89
20,5,14,174.843
20,5,15,173.178
20,6,1,294.124
20,6,2,251.017
20,6,3,227.418
20,6,4,220.463
20,6,5,195.871
20,6,6,191.347
20,6,7,188.753
20,6,8,183.045
20,6,9,182.667
20,6,10,180.645
20,6,11,175.524
20,6,12,176.268
20,6,13,179.816
20,6,14,174.919
20,7,1,312.21
20,7,2,260.332
20,7,3,232.588
20,7,4,216.694
20,7,5,197.146
20,7,6,191.698
20,7,7,189.014
20,7,8,183.928
20,7,9,183.219
20,7,10,180.973
20,7,11,175.393
20,7,12,176.159
20,7,13,181.085
20,8,1,329.083
20,8,2,268.273
20,8,3,235.728
20,8,4,218.026
20,8,5,197.723
20,8,6,191.571
20,8,7,188.347
20,8,8,182.941
20,8,9,182.777
20,8,10,180.729
20,8,11,175.602
20,8,12,176.34
20,9,1,342.416
20,9,2,274.452
20,9,3,239.295
20,9,4,219.773
20,9,5,198.96
20,9,6,192.259
20,9,7,188.715
20,9,8,183.442
20,9,9,182.93
20,9,10,180.437
20,9,11,175.338
20,10,1,353.852
20,10,2,280.342
20,10,3,242.446
20,10,4,221.589
20,10,5,199.378
20,10,6,192.456
20,10,7,189.439
20,10,8,182.982
20,10,9,182.701
20,10,10,180.208
20,11,1,365.446
20,11,2,286.496
20,11,3,245.058
20,11,4,222.319
20,11,5,200.213
20,11,6,192.749
20,11,7,188.841
20,11,8,183.395
20,11,9,183.022
20,12,1,376.526
20,12,2,291.809
20,12,3,247.569
20,12,4,223.954
20,12,5,201.271
20,12,6,193.519
20,12,7,189.885
20,12,8,184.364
20,13,1,387.51
20,13,2,297.35
20,13,3,250.901
20,13,4,225.627
20,13,5,201.809
20,13,6,193.43
20,13,7,189.902
20,14,1,398.908
20,14,2,303.542
20,14,3,253.557
20,14,4,226.95
20,14,5,202.801
20,14,6,194.318
20,15,1,409.374
20,15,2,308.521
20,15,3,256.063
20,15,4,228.243
20,15,5,203.137
20,16,1,421.149
20,16,2,314.318
20,16,3,259.091
20,16,4,229.665
20,17,1,431.948
20,17,2,319.916
20,17,3,262.335
20,18,1,443.943
20,18,2,325.666
20,19,1,454.832
